benchmark,module,experiment_id,case_name,run_id,run_attempt,github_sha,network,generated_at,status,step_outcome,parent_transaction_hash,failure_phase,failure_error,appeal_occurred,round_count,accepted_message_count,finalized_message_count,triggered_child_count,provisional_attempts,settled_attempts,provisional_duplicate_delta,settled_duplicate_delta,stale_provisional,finality_latency_ms
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003A,appeal-induced-duplicate-delivery,32565214978,1,93accfc80856d0da0eca51bb77b4140dcedebb7c,testnet_bradbury,2026-08-22T09:33:44.682422+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003B,semantic-overturn-under-changed-evidence,32565214978,1,93accfc80856d0da0eca51bb77b4140dcedebb7c,testnet_bradbury,2026-08-22T09:33:44.682422+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003A,appeal-induced-duplicate-delivery,32565987804,1,76fd8b75ce51f867be753dea17e8e6d4298c80b9,testnet_bradbury,2026-08-22T09:50:26.152159+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003B,semantic-overturn-under-changed-evidence,32565987804,1,76fd8b75ce51f867be753dea17e8e6d4298c80b9,testnet_bradbury,2026-08-22T09:50:26.152159+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003A,appeal-induced-duplicate-delivery,32566132713,1,e0b841fa04e055fc8dbfb9b9979a13591f3c97e5,testnet_bradbury,2026-08-22T09:53:58.170611+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003B,semantic-overturn-under-changed-evidence,32566132713,1,e0b841fa04e055fc8dbfb9b9979a13591f3c97e5,testnet_bradbury,2026-08-22T09:53:58.170611+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003A,appeal-induced-duplicate-delivery,32600137880,1,8d6adafad2ae43279b34ce0f2b6edaf885eac903,testnet_bradbury,2026-08-22T21:38:25.469224+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003B,semantic-overturn-under-changed-evidence,32600137880,1,8d6adafad2ae43279b34ce0f2b6edaf885eac903,testnet_bradbury,2026-08-22T21:38:25.469224+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003A,appeal-induced-duplicate-delivery,32603809869,1,a7678ff803c51bad8eb19d8830503ef7233ae0ce,testnet_bradbury,2026-08-22T22:56:21.670192+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003B,semantic-overturn-under-changed-evidence,32603809869,1,a7678ff803c51bad8eb19d8830503ef7233ae0ce,testnet_bradbury,2026-08-22T22:56:21.670192+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
CFYOW Shared Consequence Benchmark,EXP-003,EXP-003A,appeal-induced-duplicate-delivery,32603990522,1,3f57edf0a2ff21d17fe16c3cacfa7027a132eaa9,testnet_bradbury,2026-08-22T23:00:16.439853+00:00,NO_RESULT,failure,,,,,,,,,,,,,,
